player_name,type,matches,events
Federer,WinEvent,7,280
Federer,ErrorEvent,7,220
Federer,DoubleEvent,7,13
Federer,AceEvent,7,58
Murray,WinEvent,7,263
Murray,ErrorEvent,7,177
Murray,DoubleEvent,7,13
Murray,AceEvent,7,66
Tsonga,WinEvent,6,274
Tsonga,ErrorEvent,6,187
Tsonga,DoubleEvent,6,15
Tsonga,AceEvent,6,97
Cilic,WinEvent,6,326
Cilic,ErrorEvent,6,357
Cilic,DoubleEvent,6,26
Cilic,AceEvent,6,87
Davydenko,WinEvent,5,160
Davydenko,ErrorEvent,5,175
Davydenko,DoubleEvent,5,13
Davydenko,AceEvent,5,28
Djokovic,WinEvent,5,176
Djokovic,ErrorEvent,5,186
Djokovic,DoubleEvent,5,31
Djokovic,AceEvent,5,32
Roddick,WinEvent,5,221
Roddick,ErrorEvent,5,125
Roddick,DoubleEvent,5,5
Roddick,AceEvent,5,94
Nadal,WinEvent,5,144
Nadal,ErrorEvent,5,125
Nadal,DoubleEvent,5,8
Nadal,AceEvent,5,21
Hewitt,WinEvent,4,91
Hewitt,ErrorEvent,4,76
Hewitt,DoubleEvent,4,6
Hewitt,AceEvent,4,23
Verdasco,WinEvent,4,125
Verdasco,ErrorEvent,4,147
Verdasco,DoubleEvent,4,34
Verdasco,AceEvent,4,28
Kubot,WinEvent,3,18
Kubot,ErrorEvent,3,43
Kubot,DoubleEvent,3,13
Kubot,AceEvent,3,26
Almagro,WinEvent,4,138
Almagro,ErrorEvent,4,126
Almagro,DoubleEvent,4,10
Almagro,AceEvent,4,56
Gonzalez,WinEvent,4,267
Gonzalez,ErrorEvent,4,166
Gonzalez,DoubleEvent,4,24
Gonzalez,AceEvent,4,70
Potro,WinEvent,4,209
Potro,ErrorEvent,4,225
Potro,DoubleEvent,4,24
Potro,AceEvent,4,70
Isner,WinEvent,4,177
Isner,ErrorEvent,4,140
Isner,DoubleEvent,4,12
Isner,AceEvent,4,95
Karlovic,WinEvent,3,119
Karlovic,ErrorEvent,3,82
Karlovic,DoubleEvent,3,6
Karlovic,AceEvent,3,87
Montanes,WinEvent,3,87
Montanes,ErrorEvent,3,94
Montanes,DoubleEvent,3,8
Montanes,AceEvent,3,24
Baghdatis,WinEvent,3,95
Baghdatis,ErrorEvent,3,123
Baghdatis,DoubleEvent,3,4
Baghdatis,AceEvent,3,23
Koubek,WinEvent,3,2
Koubek,ErrorEvent,3,26
Koubek,DoubleEvent,3,9
Koubek,AceEvent,3,22
Monaco,WinEvent,3,98
Monaco,ErrorEvent,3,97
Monaco,DoubleEvent,3,3
Monaco,AceEvent,3,8
Istomin,WinEvent,3,11
Istomin,ErrorEvent,3,39
Istomin,DoubleEvent,3,4
Istomin,AceEvent,3,18
Haas,WinEvent,3,149
Haas,ErrorEvent,3,162
Haas,DoubleEvent,3,14
Haas,AceEvent,3,39
Falla,WinEvent,3,13
Falla,ErrorEvent,3,51
Falla,DoubleEvent,3,10
Falla,AceEvent,3,7
Lopez,WinEvent,3,113
Lopez,ErrorEvent,3,121
Lopez,DoubleEvent,3,11
Lopez,AceEvent,3,53
Korolev,WinEvent,3,62
Korolev,ErrorEvent,3,74
Korolev,DoubleEvent,3,19
Korolev,AceEvent,3,22
Wawrinka,WinEvent,3,81
Wawrinka,ErrorEvent,3,119
Wawrinka,DoubleEvent,3,15
Wawrinka,AceEvent,3,29
Mayer,WinEvent,3,34
Mayer,ErrorEvent,3,28
Mayer,DoubleEvent,3,5
Mayer,AceEvent,3,15
Serra,WinEvent,3,92
Serra,ErrorEvent,3,143
Serra,DoubleEvent,3,11
Serra,AceEvent,3,29
Monfils,WinEvent,3,110
Monfils,ErrorEvent,3,97
Monfils,DoubleEvent,3,18
Monfils,AceEvent,3,23
Ljubicic,WinEvent,3,73
Ljubicic,ErrorEvent,3,50
Ljubicic,DoubleEvent,3,4
Ljubicic,AceEvent,3,30
Kohlschreiber,WinEvent,3,41
Kohlschreiber,ErrorEvent,3,72
Kohlschreiber,DoubleEvent,3,11
Kohlschreiber,AceEvent,3,37
Hanescu,WinEvent,2,20
Hanescu,ErrorEvent,2,28
Hanescu,DoubleEvent,2,2
Hanescu,AceEvent,2,9
Robert,WinEvent,2,94
Robert,ErrorEvent,2,81
Robert,DoubleEvent,2,9
Robert,AceEvent,2,6
Young,WinEvent,2,30
Young,ErrorEvent,2,54
Young,DoubleEvent,2,8
Young,AceEvent,2,14
Ferrer,WinEvent,2,60
Ferrer,ErrorEvent,2,83
Ferrer,DoubleEvent,2,1
Ferrer,AceEvent,2,3
Sergeyev,WinEvent,2,16
Sergeyev,ErrorEvent,2,61
Sergeyev,DoubleEvent,2,14
Sergeyev,AceEvent,2,10
Dodig,WinEvent,2,0
Dodig,ErrorEvent,2,20
Dodig,DoubleEvent,2,10
Dodig,AceEvent,2,28
Llodra,WinEvent,2,53
Llodra,ErrorEvent,2,54
Llodra,DoubleEvent,2,11
Llodra,AceEvent,2,14
Marchenko,WinEvent,2,14
Marchenko,ErrorEvent,2,44
Marchenko,DoubleEvent,2,7
Marchenko,AceEvent,2,8
Chiudinelli,WinEvent,2,67
Chiudinelli,ErrorEvent,2,90
Chiudinelli,DoubleEvent,2,6
Chiudinelli,AceEvent,2,7
Berrer,WinEvent,2,40
Berrer,ErrorEvent,2,23
Berrer,DoubleEvent,2,6
Berrer,AceEvent,2,15
Youzhny,WinEvent,2,104
Youzhny,ErrorEvent,2,93
Youzhny,DoubleEvent,2,9
Youzhny,AceEvent,2,17
Hajek,WinEvent,2,18
Hajek,ErrorEvent,2,52
Hajek,DoubleEvent,2,8
Hajek,AceEvent,2,3
Giraldo,WinEvent,2,0
Giraldo,ErrorEvent,2,4
Giraldo,DoubleEvent,2,2
Giraldo,AceEvent,2,4
Dent,WinEvent,2,52
Dent,ErrorEvent,2,59
Dent,DoubleEvent,2,10
Dent,AceEvent,2,11
Tipsarevic,WinEvent,2,39
Tipsarevic,ErrorEvent,2,51
Tipsarevic,DoubleEvent,2,10
Tipsarevic,AceEvent,2,24
Becker,WinEvent,2,34
Becker,ErrorEvent,2,71
Becker,DoubleEvent,2,14
Becker,AceEvent,2,22
Granollers,WinEvent,2,40
Granollers,ErrorEvent,2,48
Granollers,DoubleEvent,2,5
Granollers,AceEvent,2,14
Bellucci,WinEvent,2,35
Bellucci,ErrorEvent,2,55
Bellucci,DoubleEvent,2,10
Bellucci,AceEvent,2,17
Schuettler,WinEvent,2,27
Schuettler,ErrorEvent,2,60
Schuettler,DoubleEvent,2,9
Schuettler,AceEvent,2,3
Berdych,WinEvent,2,0
Berdych,ErrorEvent,2,10
Berdych,DoubleEvent,2,5
Berdych,AceEvent,2,6
Ilhan,WinEvent,2,19
Ilhan,ErrorEvent,2,26
Ilhan,DoubleEvent,2,2
Ilhan,AceEvent,2,6
Tomic,WinEvent,2,47
Tomic,ErrorEvent,2,93
Tomic,DoubleEvent,2,8
Tomic,AceEvent,2,9
Kunitsyn,WinEvent,2,10
Kunitsyn,ErrorEvent,2,41
Kunitsyn,DoubleEvent,2,3
Kunitsyn,AceEvent,2,7
Troicki,WinEvent,2,0
Troicki,ErrorEvent,2,24
Troicki,DoubleEvent,2,12
Troicki,AceEvent,2,41
Blake,WinEvent,2,130
Blake,ErrorEvent,2,86
Blake,DoubleEvent,2,4
Blake,AceEvent,2,25
Gicquel,WinEvent,2,20
Gicquel,ErrorEvent,2,51
Gicquel,DoubleEvent,2,8
Gicquel,AceEvent,2,15
Nieminen,WinEvent,2,86
Nieminen,ErrorEvent,2,79
Nieminen,DoubleEvent,2,4
Nieminen,AceEvent,2,10
Sorensen,WinEvent,2,28
Sorensen,ErrorEvent,2,23
Sorensen,DoubleEvent,2,8
Sorensen,AceEvent,2,17
Veic,WinEvent,2,23
Veic,ErrorEvent,2,26
Veic,DoubleEvent,2,1
Veic,AceEvent,2,9
Benneteau,WinEvent,2,0
Benneteau,ErrorEvent,2,22
Benneteau,DoubleEvent,2,11
Benneteau,AceEvent,2,11
Golubev,WinEvent,2,44
Golubev,ErrorEvent,2,71
Golubev,DoubleEvent,2,11
Golubev,AceEvent,2,10
Odesnik,WinEvent,2,0
Odesnik,ErrorEvent,2,28
Odesnik,DoubleEvent,2,14
Odesnik,AceEvent,2,14
Lacko,WinEvent,2,13
Lacko,ErrorEvent,2,62
Lacko,DoubleEvent,2,7
Lacko,AceEvent,2,9
Andreev,WinEvent,1,26
Andreev,ErrorEvent,1,55
Andreev,DoubleEvent,1,7
Andreev,AceEvent,1,2
Chela,WinEvent,1,0
Chela,ErrorEvent,1,8
Chela,DoubleEvent,1,4
Chela,AceEvent,1,6
Starace,WinEvent,1,56
Starace,ErrorEvent,1,53
Starace,DoubleEvent,1,2
Starace,AceEvent,1,5
